created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 25 16:30:09 +0000 2023;1717216989918200155;"@HernameTaquito Me gusta llorar y quedar con crisis existencial después de ver #kdramas 😂 Amo el drama, pero solo a través de la pantalla 😅 Así lo mantengo alejado de mi vida real";0;0;0;0;es;1485004531867992067;1716672780035375513;dorandorankr;https://twitter.com/dorandorankr/status/1717216989918200155
Wed Oct 25 14:08:05 +0000 2023;1717181238572707927;""The Killing Vote" Has Shared Stills From Its Upcoming  Episode 10  #TheKillingVote #ParkSungWoong #ParkHaeJin #LimJiYeon #KimKwon #ChoiYuHwa #kdrama #kdramatwt #kdramas #KoreanDrama #gaetal   https://t.co/Do60xt56Mx";0;0;0;0;en;1646376540173660160;1717181238572707927;hallyuingnow;https://twitter.com/hallyuingnow/status/1717181238572707927
Wed Oct 25 14:07:55 +0000 2023;1717181198106263943;"“My Journey with the Korean Wave: From Boarding School Days to Adulthood”  https://t.co/6f0OdfykkU  #koreanwave #kdramas #medium #writingonmedium #popculture https://t.co/k7Nispz24S";0;0;0;0;en;1571017447205117955;1717181198106263943;kenrique_maling;https://twitter.com/kenrique_maling/status/1717181198106263943
Wed Oct 25 14:01:08 +0000 2023;1717179486976799085;"“Moving” Star Lee Jung Ha Talks About Using Wirework In Action Scenes, His Current Interests, And More  #LEEJUNGHA #Moving #kdrama #KoreanDrama  #koreandramas #kdramatwt #kdramas #DAZEDKOREA    https://t.co/69ZPWtdXn0";0;0;0;0;en;1646376540173660160;1717179486976799085;hallyuingnow;https://twitter.com/hallyuingnow/status/1717179486976799085
Wed Oct 25 13:52:32 +0000 2023;1717177325089906856;"Kim Young Dae And Pyo Ye Jin Hand-Pick Points To focus On In Their New Drama “Moon In The Day”  #kdrama #kdramas #kdramatwt #kimYoungDae #PyoYeJin #MoonInTheDay #koreandrama   https://t.co/qz4q8prJnU";0;0;0;1;en;1646376540173660160;1717177325089906856;hallyuingnow;https://twitter.com/hallyuingnow/status/1717177325089906856
Wed Oct 25 13:46:24 +0000 2023;1717175779443032498;"How they look each other is amazing 🫶  #DestinedWithYou #Rowoon #JoBoAh  #koreandrama #rowoonfans #netflixandchill #kdrama_actor #kdramas   https://t.co/RBTEwZJD3J";0;0;2;5;en;813684583552012288;1717175779443032498;gadgets24_now;https://twitter.com/gadgets24_now/status/1717175779443032498
Wed Oct 25 13:24:00 +0000 2023;1717170145163092109;"How they look each other is amazing 🫶 #DestinedWithYou #Rowoon #JoBoAh  #koreandrama #rowoonfans #netflixandchill #kdrama_actor #kdramas    https://t.co/lEzbY059ha";0;0;0;1;en;1175274302;1717170145163092109;jahan_afroz;https://twitter.com/jahan_afroz/status/1717170145163092109
Wed Oct 25 12:57:20 +0000 2023;1717163435329200242;"No llenes tu cabeza con preocupaciones porque entonces no habrá espacio para las cosas que son maravillosas.  #oneleejonghyun  #LeeJongHyun #cnbluegt  @cnbluegt #jonghyun  #kpop #Kdramas #burning #guitarist #vocalist  #pazenelmundo  #pazparapanamá  #moonlightswing https://t.co/vVK0VtTkQ2";1;0;3;12;es;1287570158341500928;1717163435329200242;florikpop;https://twitter.com/florikpop/status/1717163435329200242
Wed Oct 25 12:28:51 +0000 2023;1717156264839725131;"A Good Day to Be a Dog Episode 4 [Eng Sub] Full Episode #AGoodDaytoBeaDog #kdramas  Link Full Episode :: https://t.co/RW0LesXBjs Watch on My Web :: https://t.co/V7bfo4Xxg9 Let's Watch and Share !!! https://t.co/lBWwnULinE";0;0;0;0;en;1634506034357374978;1717156264839725131;PodenPoden1;https://twitter.com/PodenPoden1/status/1717156264839725131
Wed Oct 25 12:24:08 +0000 2023;1717155076601741819;"The Worst of Evil Episode 10-12 [Eng Sub] Full Episode #TheWorstofEvilEp10 #kdramas   Link Full Episode :: https://t.co/RW0LesXBjs Watch on My Web :: https://t.co/V7bfo4Xxg9 Let's Watch and Share !!! https://t.co/yuc0c1ez1Q";0;0;0;0;en;1634506034357374978;1717155076601741819;PodenPoden1;https://twitter.com/PodenPoden1/status/1717155076601741819
